time,DrinkingWaterExtractionPump_Q,DrinkingWaterExtractionPump_Q_target,DrinkingWaterExtractionPump_Q_target_violation,Inflow_Q,LowerChannel.H[1],LowerChannel.H[1]_max,LowerChannel.H[1]_min,LowerChannel.H[1]_target_violation,LowerChannel.H[2],LowerChannel.H[2]_max,LowerChannel.H[2]_min,LowerChannel.H[2]_target_violation,LowerControlStructure_Q,MiddleChannel.H[1],MiddleChannel.H[1]_max,MiddleChannel.H[1]_min,MiddleChannel.H[1]_target_violation,MiddleChannel.H[2],MiddleChannel.H[2]_max,MiddleChannel.H[2]_min,MiddleChannel.H[2]_target_violation,UpperChannel.H[1],UpperChannel.H[1]_max,UpperChannel.H[1]_min,UpperChannel.H[1]_target_violation,UpperChannel.H[2],UpperChannel.H[2]_max,UpperChannel.H[2]_min,UpperChannel.H[2]_target_violation,UpperControlStructure_Q
2013-01-01 01:00:00,0.560027,0.560000,0.000061,1.000000,0.100000,0.350000,-0.150000,nan,0.000000,0.350000,-0.150000,nan,2.000843,0.600000,0.850000,0.350000,nan,0.500000,0.850000,0.350000,nan,1.100000,1.350000,0.850000,nan,1.000000,1.350000,0.850000,nan,2.001170
2013-01-01 02:00:00,0.490031,0.490000,0.000061,1.000000,0.107349,0.350000,-0.150000,nan,0.061749,0.350000,-0.150000,nan,0.584543,0.591307,0.850000,0.350000,nan,0.530250,0.850000,0.350000,nan,1.054976,1.350000,0.850000,nan,0.996620,1.350000,0.850000,nan,1.134456
2013-01-01 03:00:00,0.490031,0.490000,0.000061,1.000000,0.096359,0.350000,-0.150000,nan,0.071118,0.350000,-0.150000,nan,0.715869,0.620129,0.850000,0.350000,nan,0.548350,0.850000,0.350000,nan,0.998807,1.350000,0.850000,nan,0.931742,1.350000,0.850000,nan,1.336239
2013-01-01 04:00:00,0.560027,0.560000,0.000061,1.000000,0.095325,0.350000,-0.150000,nan,0.072464,0.350000,-0.150000,nan,0.716588,0.632585,0.850000,0.350000,nan,0.557719,0.850000,0.350000,nan,0.941627,1.350000,0.850000,nan,0.867518,1.350000,0.850000,nan,1.337237
2013-01-01 05:00:00,0.770014,0.770000,0.000061,1.000000,0.091503,0.350000,-0.150000,nan,0.076067,0.350000,-0.150000,nan,0.586693,0.583177,0.850000,0.350000,nan,0.514895,0.850000,0.350000,nan,0.919740,1.350000,0.850000,nan,0.853221,1.350000,0.850000,nan,1.100509
2013-01-01 06:00:00,0.980001,0.980000,0.000061,1.000000,0.085210,0.350000,-0.150000,nan,0.081484,0.350000,-0.150000,nan,0.303882,0.534565,0.850000,0.350000,nan,0.470296,0.850000,0.350000,nan,0.913367,1.350000,0.850000,nan,0.850608,1.350000,0.850000,nan,1.024961
2013-01-01 07:00:00,1.259984,1.260000,0.000061,1.000000,0.082972,0.350000,-0.150000,nan,0.083680,0.350000,-0.150000,nan,0.046331,0.482638,0.850000,0.350000,nan,0.414144,0.850000,0.350000,nan,0.911689,1.350000,0.850000,nan,0.850091,1.350000,0.850000,nan,1.006098
2013-01-01 08:00:00,1.329979,1.330000,0.000061,1.000000,0.083307,0.350000,-0.150000,nan,0.083455,0.350000,-0.150000,nan,0.005558,0.426287,0.850000,0.350000,nan,0.350230,0.850000,0.350000,nan,0.911268,1.350000,0.850000,nan,0.849983,1.350000,0.850000,nan,1.001469
2013-01-01 09:00:00,1.259984,1.260000,0.000061,1.500000,0.083029,0.350000,-0.150000,nan,0.082896,0.350000,-0.150000,nan,0.031740,0.450468,0.850000,0.350000,nan,0.350055,0.850000,0.350000,nan,0.962285,1.350000,0.850000,nan,0.849941,1.350000,0.850000,0.000037,1.358403
2013-01-01 10:00:00,1.119993,1.120000,0.000061,2.000000,0.087239,0.350000,-0.150000,nan,0.074393,0.350000,-0.150000,nan,0.517781,0.507207,0.850000,0.350000,nan,0.349990,0.850000,0.350000,nan,1.036082,1.350000,0.850000,nan,0.849871,1.350000,0.850000,0.000072,1.795202
