UpperChannel.H[1],UpperChannel.H[2],MiddleChannel.H[1],MiddleChannel.H[2],LowerChannel.H[1],LowerChannel.H[2],T_hom,T_ss
1.1,1,0.6,0.5,0.1,0,1.91807558100004,1.32946467800002
0.5,1,0.6,0.5,0.1,0,1.93195286899982,nan
0.8,1,0.6,0.5,0.1,0,1.96361677599998,1.32946467800002
1.4,1,0.6,0.5,0.1,0,1.98759287200028,0.971357250999972
1.7,1,0.6,0.5,0.1,0,2.04656552899996,1.60174543699986
2,1,0.6,0.5,0.1,0,2.34842125099976,nan
1.1,0.4,0.6,0.5,0.1,0,1.92206387299984,nan
1.1,0.7,0.6,0.5,0.1,0,2.00307058099997,1.16304358700017
1.1,1.3,0.6,0.5,0.1,0,1.94175118800013,1.34073036400014
1.1,1.6,0.6,0.5,0.1,0,2.00068763299987,1.78224694400024
1.1,1.9,0.6,0.5,0.1,0,2.01314380899976,nan
1.1,1,0.3,0.5,0.1,0,1.95176421399992,1.54230673899974
1.1,1,0.9,0.5,0.1,0,1.99298512800033,1.30815562199996
1.1,1,1.2,0.5,0.1,0,2.02929654699983,nan
1.1,1,1.5,0.5,0.1,0,2.32170549000011,nan
1.1,1,0.6,0.2,0.1,0,1.98827498999981,1.51024863800012
1.1,1,0.6,0.8,0.1,0,1.89818693899997,1.54381165199993
1.1,1,0.6,1.1,0.1,0,2.00535506799997,1.29016830599994
1.1,1,0.6,1.4,0.1,0,1.98772185899998,nan
1.1,1,0.6,0.5,0.4,0,1.98311088699984,1.14473953200013
1.1,1,0.6,0.5,0.7,0,2.03151493799987,1.17173698600027
1.1,1,0.6,0.5,1,0,2.32159170800014,nan
1.1,1,0.6,0.5,0.1,0.1,1.87748814099996,1.40178814299998
1.1,1,0.6,0.5,0.1,0.2,1.8923412539998,nan
1.1,1,0.6,0.5,0.1,0.3,1.92554371200004,3.31099055600043
1.1,1,0.6,0.5,0.1,0.6,1.99160131200006,nan
1.1,1,0.6,0.5,0.1,0.9,1.98402763500008,1.69932189599967
